Country Name,Country Code,Year,Region,Income_Group,Control_of_Corruption,Rule_of_Law,Regulatory_Quality,Political_Stability,Governance_Avg,Composite_Risk_Score,Risk_Tier,GDP_per_Capita_USD
Argentina,ARG,2013,Latin America & Caribbean,Upper middle income,37.38,47.05,41.69,66.45,48.14,51.86,Medium Risk,12963.68
Argentina,ARG,2014,Latin America & Caribbean,Upper middle income,34.37,44.4,38.89,65.67,45.83,54.17,Medium Risk,12233.14
Argentina,ARG,2015,Latin America & Caribbean,Upper middle income,34.8,48.92,42.29,65.37,47.84,52.16,Medium Risk,13679.63
Argentina,ARG,2016,Latin America & Caribbean,Upper middle income,43.41,52.89,50.88,69.2,54.1,45.9,Medium Risk,12699.96
Argentina,ARG,2017,Latin America & Caribbean,Upper middle income,44.25,54.0,52.96,69.98,55.3,44.7,Medium Risk,14532.5
Argentina,ARG,2018,Latin America & Caribbean,Upper middle income,47.74,53.48,51.86,67.95,55.26,44.74,Medium Risk,11752.8
Argentina,ARG,2019,Latin America & Caribbean,Upper middle income,46.14,51.15,47.78,66.87,52.98,47.02,Medium Risk,9955.97
Argentina,ARG,2020,Latin America & Caribbean,Upper middle income,45.13,51.96,46.23,66.84,52.54,47.46,Medium Risk,8535.6
Argentina,ARG,2021,Latin America & Caribbean,Upper middle income,41.23,51.73,45.65,67.47,51.52,48.48,Medium Risk,10738.02
Argentina,ARG,2022,Latin America & Caribbean,Upper middle income,40.97,51.95,45.73,66.88,51.38,48.62,Medium Risk,13962.19
Argentina,ARG,2023,Latin America & Caribbean,Upper middle income,40.69,52.87,46.87,65.54,51.49,48.51,Medium Risk,14261.85
Argentina,ARG,2024,Latin America & Caribbean,Upper middle income,41.26,52.64,51.16,62.99,52.01,47.99,Medium Risk,13969.78
Australia,AUS,2013,East Asia & Pacific,High income,82.87,85.12,84.52,82.23,83.69,16.31,Low Risk,68476.68
Australia,AUS,2014,East Asia & Pacific,High income,85.57,86.78,82.41,83.31,84.52,15.48,Low Risk,62817.21
Australia,AUS,2015,East Asia & Pacific,High income,85.39,86.53,82.3,79.62,83.46,16.54,Low Risk,56970.36
Australia,AUS,2016,East Asia & Pacific,High income,84.18,86.72,83.47,82.19,84.14,15.86,Low Risk,50084.44
Australia,AUS,2017,East Asia & Pacific,High income,84.17,84.91,83.66,79.27,83.0,17.0,Low Risk,54117.55
Australia,AUS,2018,East Asia & Pacific,High income,83.65,85.12,83.7,81.0,83.37,16.63,Low Risk,57410.17
Australia,AUS,2019,East Asia & Pacific,High income,84.02,85.09,83.99,80.34,83.36,16.64,Low Risk,55194.76
Australia,AUS,2020,East Asia & Pacific,High income,80.32,83.68,82.75,81.03,81.94,18.06,Low Risk,51983.45
Australia,AUS,2021,East Asia & Pacific,High income,81.8,83.99,83.03,80.48,82.32,17.68,Low Risk,60758.9
Australia,AUS,2022,East Asia & Pacific,High income,82.85,82.3,83.26,81.29,82.42,17.58,Low Risk,65169.52
Australia,AUS,2023,East Asia & Pacific,High income,84.41,82.84,83.46,81.7,83.1,16.9,Low Risk,65058.38
