Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,43607.6636827371,47746.9810645521,45256.040227057,41258.5374285695,40918.0520870944,43704.3162296687,43160.6843971799,40815.1255364787,47695.6491523474,47034.7795621476,49919.6896621586,53341.3131094262,57601.9621201954
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,53297.3862901595,55153.3940182967,56849.4697923159,57976.628204291,60047.7190728307,62875.6661382728,65227.9565911038,64465.2971415748,71441.2319805947,78008.6895811877,82586.7847707894,86169.6641581917,90026.5163005744
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,53247.2278745159,52725.2307981936,44910.3458860776,42721.1136110991,43733.6242018215,47135.3478795605,45938.6084572227,37991.738387966,44118.4936214315,50759.7590190204,49850.6945082084,50273.5126243239,..
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,52637.7313222622,50960.8942086685,43594.2379080706,42314.1033623905,45129.7335281051,46539.2177903178,46352.9695208927,43537.8981198851,52886.6407813788,56496.9275340663,54847.5370112652,55015.7066917734,55697.6639660837
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,11216.800851866,11391.3773503964,10021.2386113616,9097.92397674769,9649.27816729586,10084.7937570364,10369.5553593527,8841.27074929751,10314.0506733708,11405.7940469896,13830.843848864,13988.0423745241,13889.2339628708
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,47206.8353514242,48959.5991203133,41929.7549110722,42948.9381932694,45553.9341495339,48916.1686612154,47656.199739747,47394.8734504469,52349.2459994422,50506.5179638543,54776.7668235491,56103.7323182554,60496.4350820414
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,42669.1795111893,43148.0459288416,36702.4323733379,37024.2157133669,38687.1626407164,41418.1766484844,40408.2848574751,39169.8606000707,43725.0999521245,40988.6396406579,44700.1384177544,46103.0840855884,48985.7307807924
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,35701.6746002376,36028.3494022349,30639.8829751432,31391.5692898108,32844.115660604,35062.3364176949,33812.788724868,32091.4866621366,36852.5425414951,35653.9042103495,39279.699782164,40429.6224047352,43308.6403060733
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,21573.3449762805,21474.7257123892,17980.7298238137,17919.2426377048,18631.9930129293,19873.4015238771,19335.3602002969,17886.733165236,20652.89659591,20884.6773436263,23343.7103964562,24626.1481858973,26948.0070432791
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,13621.9023794031,14262.2841914116,12637.5220324406,12464.0121044827,13913.3415190124,15658.210586693,15874.5220531254,16150.9304813473,18635.5104895754,18891.2121169279,22145.2660647429,25103.565661423,28419.5777395638
