Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United Arab Emirates,ARE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,71.1592968,67.8064972,66.4758996,70.2507657,69.6390726,70.015474,69.8741699,69.3398258,68.8044696,68.5486955,67.9315494,71.5418396
United Arab Emirates,ARE,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,64.0925232,62.992921,63.0056242,64.2018989,63.5648206,63.6651728,64.3010859,63.8059426,62.7906023,64.0194293,64.6972832,65.5157588
United Arab Emirates,ARE,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,70.4823132,71.8020294,73.453947,71.8671512,72.3908602,71.8838453,72.9323813,71.6801826,71.6015479,71.5429018,72.2957632,72.6169592
United Arab Emirates,ARE,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,79.1135654,81.2419499,80.2130602,77.7250567,78.1809681,80.134659,80.0644793,80.0198861,80.2357804,80.981136,79.2684716,79.3661459
United Kingdom,GBR,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,78.3104023,78.6253383,81.3397989,83.47823,84.6158123,84.3780735,83.6302925,82.6910306,81.5403055,80.9553454,77.7024943,78.4145814
United Kingdom,GBR,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,82.9349061,84.3892381,85.5496474,84.7289378,84.6468204,82.5311671,81.7218803,80.2936931,79.4450626,79.3292982,78.8284082,78.8208235
United Kingdom,GBR,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,82.1110185,82.2011964,83.4678559,81.3749994,81.191969,81.2780651,81.8869902,80.1185755,80.1090196,80.87291,79.9233664,78.6971573
United Kingdom,GBR,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,73.7518389,75.180368,75.0691258,73.5786913,73.421614,70.7215323,75.5992994,74.6097896,73.3482195,72.1751474,72.1862761,70.2964669
United States,USA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,71.7540883,72.9380723,72.8887558,72.9954469,74.2866139,73.1653584,71.5773432,70.612324,70.6216776,72.192362,72.045619,69.8551773
United States,USA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,79.3663047,80.0486936,80.6641363,81.0107788,79.683417,77.1374928,76.3012367,74.2508207,74.6568866,75.0674875,73.4988816,73.5177858
United States,USA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,76.7987356,75.1394056,75.2385873,77.0634574,78.6622599,78.2710025,76.431118,75.016521,77.9559668,77.8706056,77.4267473,76.1934585
United States,USA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,75.7935684,77.3070017,77.2686791,71.4957097,67.7755797,70.8565316,66.8276892,63.3866948,63.735279,63.1167764,62.5953145,64.2697196
Canada,CAN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,84.88077,84.6510205,85.6654897,87.1382334,85.9923561,84.4384176,84.1986505,81.0957447,80.5573179,81.2937211,80.7748172,80.8871678
Canada,CAN,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,84.3252934,85.2456806,86.5750267,86.7161028,86.440747,86.271688,85.917657,83.7891422,83.6298227,82.8712609,81.6821735,82.1066204
Canada,CAN,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,82.5136629,81.3971141,81.0256924,82.7862861,83.9445913,80.7639121,81.400546,79.9847535,80.5966057,80.6051381,79.6626569,76.3468072
Canada,CAN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,83.2379093,85.7536891,86.0984726,85.7484945,83.3042064,81.902439,81.3392569,82.045178,78.8835053,74.5623814,76.6008039,76.1173365
Mexico,MEX,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,37.1009556,32.6150206,30.8336421,31.2331432,28.6631687,28.7721329,29.8469098,30.5727672,30.1761404,30.1282206,28.986428,28.8100291
Mexico,MEX,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,45.8198954,46.9289858,45.2102836,45.4749739,44.4008161,43.088259,41.8879329,39.9835084,39.3268581,38.3383975,38.4166425,37.1058908
Mexico,MEX,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,59.3770062,58.1486191,57.7420193,57.4026104,57.4505902,54.8126908,54.2041143,52.9751437,51.8459998,52.3971353,52.086238,51.7749322
Mexico,MEX,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,52.1530435,49.5018886,50.6531064,51.64984,48.0339505,50.0543383,50.5648971,52.6169798,53.3188388,55.8325808,55.6715218,53.6732923
Germany,DEU,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,80.7696981,82.4332709,82.7383756,83.5429199,84.7401905,86.6742509,85.8450483,85.7329669,84.782052,84.7431984,82.253352,83.7515919
Germany,DEU,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,84.9693834,86.8522205,86.9091312,85.9619349,86.2725572,86.4901366,86.3547779,84.9686433,85.1033429,84.1757238,84.2533906,84.9456033
